date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:54	21048/21048	---M--	200	added ('OK')	image/jpeg	etag:%225238-632a912f-fd6ae513c9ffbaab;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-30.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-30.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:54	111131/111131	---M--	200	added ('OK')	image/jpeg	etag:%221b21b-632a912f-9ae947b1bfbd96ea;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-33.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-33.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:55	106358/106358	---M--	200	added ('OK')	image/jpeg	etag:%2219f76-632a912f-b61027f04e15dce1;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-34.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-34.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:55	53828/53828	---M--	200	added ('OK')	image/jpeg	etag:%22d244-632a912f-95f88e099ead05a7;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-35.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-35.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:55	46640/46640	---M--	200	added ('OK')	image/jpeg	etag:%22b630-632a912f-eebe0884a5846d00;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-36.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-36.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:55	55001/55001	---M--	200	added ('OK')	image/jpeg	etag:%22d6d9-632a912f-1a4d7e9193107cf4;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-37.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-37.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:55	38006/38006	---M--	200	added ('OK')	image/jpeg	etag:%229476-632a912f-e454cc2584302668;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-38.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-38.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:56	69513/69513	---M--	200	added ('OK')	image/jpeg	etag:%2210f89-632a912f-f0cb46fbc37a6cb4;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-39.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-39.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:56	56590/56590	---M--	200	added ('OK')	image/jpeg	etag:%22dd0e-632a912f-3e064ea83faf9e78;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-40.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/product/home-two/product-40.jpg	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:56	865/865	---M--	200	added ('OK')	image/png	etag:%22361-632a912f-271c560f9aa9ba9a;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/logo/logo-white.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/logo/logo-white.png	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:56	288226/288226	---M-Z	200	added ('OK')	application/x-javascript	etag:%22465e2-632a912f-2f26b863e5757eed;gz%22	https://weblearnbd.net/tphtml/ninico/assets/js/jquery-ui.js	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/js/jquery-ui.js	(from https://weblearnbd.net/tphtml/ninico/shop.html)
17:13:57	26243/26243	---M--	200	added ('OK')	image/jpeg	etag:%226683-632a912f-e8febed54d794eae;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/login-bg.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/login-bg.jpg	(from https://weblearnbd.net/tphtml/ninico/sign-in.html)
17:13:57	266/266	---M--	200	added ('OK')	image/png	etag:%2210a-632a912f-c93c4631e30e1ee7;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/icon/lock.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/icon/lock.png	(from https://weblearnbd.net/tphtml/ninico/sign-in.html)
17:13:57	80815/80815	---M--	200	added ('OK')	image/jpeg	etag:%2213baf-632a912f-f84f477db9eb1c5a;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/sign-bg.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/sign-bg.jpg	(from https://weblearnbd.net/tphtml/ninico/sign-in.html)
